Name,Price,Availability,Brand,Rating,Review_Count,Star_5,Star_4,Star_3,Star_2,Star_1,Delivery_By_Pincode,Sponsored,Specifications
Noise Watch Model 1,₹5774,In Stock,Noise,4.0,4069,1315,1433,375,283,166,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 2,₹3786,In Stock,Titan,3.5,3993,1433,1190,147,207,151,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Timex Watch Model 3,₹2828,In Stock,Timex,4.4,2496,1481,731,12,146,19,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 4,₹8086,In Stock,Noise,4.6,1683,1188,184,702,320,158,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Timex Watch Model 5,₹9464,In Stock,Timex,4.1,4510,1398,87,618,69,118,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Boat Watch Model 6,₹6067,In Stock,Boat,4.1,2572,2728,1357,166,269,70,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 7,₹6415,In Stock,Fossil,4.9,1706,1019,1037,510,382,163,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Boat Watch Model 8,₹1811,In Stock,Boat,4.5,269,2816,338,222,193,39,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Casio Watch Model 9,₹5344,In Stock,Casio,4.8,1319,509,625,533,293,2,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 10,₹1153,In Stock,Fossil,4.8,3582,280,1282,764,116,2,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Boat Watch Model 11,₹9618,In Stock,Boat,3.6,4933,2363,759,537,373,191,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 12,₹1007,In Stock,Fastrack,4.6,3209,1488,1430,76,22,58,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 13,₹3565,In Stock,Titan,4.6,4249,2094,1450,201,376,93,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Boat Watch Model 14,₹7037,In Stock,Boat,4.6,1041,2710,295,329,117,124,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 15,₹5673,In Stock,Fastrack,3.5,4027,2268,1213,196,220,123,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 16,₹5207,In Stock,Fossil,3.7,873,2954,522,176,331,81,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 17,₹4676,In Stock,Fastrack,4.7,1104,681,727,558,315,59,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Noise Watch Model 18,₹4020,In Stock,Noise,4.9,1143,820,467,481,246,136,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 19,₹3754,In Stock,Noise,4.4,18,1072,930,637,194,49,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Casio Watch Model 20,₹3058,In Stock,Casio,4.5,801,452,209,453,168,141,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Noise Watch Model 21,₹9972,In Stock,Noise,4.3,1726,628,625,304,346,133,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 22,₹4817,In Stock,Fossil,4.1,1290,2384,80,123,218,60,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 23,₹6676,In Stock,Casio,4.9,757,612,569,371,231,89,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Sonata Watch Model 24,₹5175,In Stock,Sonata,4.5,4586,2962,1071,758,362,30,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 25,₹9313,In Stock,Titan,4.9,775,1829,277,477,183,191,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Boat Watch Model 26,₹6144,In Stock,Boat,3.8,2382,738,98,571,145,166,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Sonata Watch Model 27,₹1745,In Stock,Sonata,4.8,2490,2332,535,116,298,85,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 28,₹4130,In Stock,Casio,4.5,3444,79,999,532,336,119,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 29,₹9744,In Stock,Fastrack,4.8,319,149,1126,216,134,81,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 30,₹2481,In Stock,Timex,3.8,1992,2470,1079,473,339,60,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Timex Watch Model 31,₹3475,In Stock,Timex,4.3,2358,596,1418,659,143,194,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 32,₹3698,In Stock,Titan,4.9,4587,2063,735,120,337,50,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 33,₹4581,In Stock,Titan,3.7,4688,2822,1005,92,396,141,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 34,₹2909,In Stock,Titan,4.4,441,1847,773,42,381,130,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 35,₹7174,In Stock,Titan,3.9,65,228,917,443,124,191,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Timex Watch Model 36,₹5567,In Stock,Timex,4.9,4814,466,936,587,55,24,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Boat Watch Model 37,₹8147,In Stock,Boat,3.8,3638,1028,1063,773,231,178,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 38,₹5293,In Stock,Casio,3.8,4530,382,805,752,309,80,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 39,₹7980,In Stock,Casio,4.1,2509,1233,1104,637,335,60,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 40,₹5963,In Stock,Noise,4.8,1595,2793,789,584,258,146,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 41,₹3028,In Stock,Timex,3.7,120,219,1003,549,132,58,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Boat Watch Model 42,₹1079,In Stock,Boat,4.8,632,2946,1074,205,226,77,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 43,₹4525,In Stock,Casio,3.8,1898,1788,1058,163,297,33,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 44,₹2296,In Stock,Casio,4.7,2518,2433,1211,674,89,98,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 45,₹8015,In Stock,Fastrack,4.7,1327,2582,401,22,14,83,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 46,₹7753,In Stock,Noise,4.6,244,479,81,790,292,148,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Timex Watch Model 47,₹8430,In Stock,Timex,3.7,4551,641,1130,208,341,63,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 48,₹3220,In Stock,Titan,3.9,173,1146,1115,766,190,97,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Casio Watch Model 49,₹4723,In Stock,Casio,4.3,256,2818,1444,743,347,195,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 50,₹8402,In Stock,Timex,4.3,1159,2956,816,220,395,34,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 51,₹8549,In Stock,Fastrack,4.9,4296,1066,661,30,286,107,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 52,₹1640,In Stock,Titan,4.6,1505,1228,1426,124,347,165,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 53,₹1085,In Stock,Timex,4.6,2828,1063,494,458,327,137,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 54,₹2158,In Stock,Fossil,4.0,4983,1259,1431,176,211,97,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 55,₹1718,In Stock,Titan,3.8,3000,1110,812,424,138,125,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 56,₹6065,In Stock,Timex,4.8,3116,1160,222,222,169,162,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 57,₹7623,In Stock,Titan,4.5,3067,2061,659,267,58,155,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Sonata Watch Model 58,₹4558,In Stock,Sonata,4.1,411,378,186,97,207,122,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Boat Watch Model 59,₹2695,In Stock,Boat,4.5,242,726,1465,729,28,68,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Sonata Watch Model 60,₹2242,In Stock,Sonata,4.8,1180,911,90,99,255,100,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 61,₹6134,In Stock,Titan,3.6,1180,127,1238,597,77,90,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Titan Watch Model 62,₹2226,In Stock,Titan,4.8,791,2254,698,624,299,161,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 63,₹9359,In Stock,Fastrack,3.8,1182,773,29,121,325,192,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Boat Watch Model 64,₹7262,In Stock,Boat,4.4,3256,2931,931,367,214,64,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Boat Watch Model 65,₹7194,In Stock,Boat,3.7,782,1109,784,562,24,122,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Timex Watch Model 66,₹3188,In Stock,Timex,4.3,637,481,259,543,41,121,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Noise Watch Model 67,₹6252,In Stock,Noise,4.7,307,2611,1101,600,110,134,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Sonata Watch Model 68,₹7534,In Stock,Sonata,3.7,1454,2114,1019,658,68,199,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Sonata Watch Model 69,₹1562,In Stock,Sonata,4.4,2607,264,49,691,301,114,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 70,₹2547,In Stock,Fossil,4.3,1699,2413,783,230,191,117,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 71,₹2851,In Stock,Fastrack,4.9,4249,2169,1371,700,9,133,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 72,₹2714,In Stock,Noise,5.0,4878,1708,545,776,56,157,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
